TripID,Date,From_Station,To_Station,Distance_km,Fare,Cost_per_passenger,Passengers,Ticket_Type,Remarks,Revenue,Total_Cost,Profit
96399,2024-06-01,Janakpuri West,Shivaji Park,1.63,42.97,32.26,20.0,Tourist Card,maintenance,859.4,645.1999999999999,214.20000000000005
33117,2022-05-10,Inderlok,Punjabi Bagh,18.98,126.38,71.95,15.0,Smart Card,weekend,1895.6999999999998,1079.25,816.4499999999998
924,2024-05-25,Rajiv Chowk,Kirti Nagar,1.51,124.59,6.49,18.0,Tourist Card,weekend,2242.62,116.82000000000001,2125.7999999999997
74297,2022-01-09,Dilshad Garden,Chandni Chowk,1.27,162.81,26.6,16.0,Tourist Card,peak,2604.96,425.6,2179.36
103669,2023-10-31,Rajiv Chowk,Noida City Centre,9.82,176.13,43.22,17.0,Tourist Card,festival,2994.21,734.74,2259.4700000000003
100419,2022-06-08, Hauz Khas   ,Pragati Maidan,0.88,135.12,21.57,15.0,Tourist Card,,2026.8000000000002,323.55,1703.2500000000002
99126,2024-05-27,New Delhi,Central Secretariat,9.24,185.42,22.51,21.0,Single,peak,3893.8199999999997,472.71000000000004,3421.1099999999997
39798,2024-02-19,Rajiv Chowk,Inderlok,1.02,147.91,82.67,20.0,Tourist Card,peak,2958.2,1653.4,1304.7999999999997
110749,2023-09-12,New Delhi,Hauz Khas,14.67,182.91,96.78,17.0,Single,,3109.47,1645.26,1464.2099999999998
29475,2023-06-26,Mandi House,Laxmi Nagar,0.6,76.47,106.59,16.0,Smart Card,,1223.52,1705.44,-481.9200000000001
62005,2023-01-18,Rajiv Chowk,Janakpuri West,6.78,161.02,60.57,23.0,Single,off-peak,3703.46,1393.11,2310.3500000000004
56936,2024-07-30,Rajiv Chowk,Hauz Khas,0.99,26.95,56.5,13.0,Tourist Card,off-peak,350.34999999999997,734.5,-384.15000000000003
24370,2023-09-27,Jasola Vihar,Shivaji Park,1.77,182.84,19.75,16.0,Tourist Card,festival,2925.44,316.0,2609.44
37241,2024-09-29,   new delhi   ,Model Town,4.17,161.38,57.22,19.0,Tourist Card,off-peak,3066.22,1087.18,1979.0399999999997
49307,2023-07-31,AIIMS,Shivaji Park,4.63,72.01,62.15,18.0,Single,weekend,1296.18,1118.7,177.48000000000002
90612,2024-01-24,Laxmi Nagar,Barakhamba Road,5.65,150.46,69.77,20.0,Smart Card,festival,3009.2000000000003,1395.3999999999999,1613.8000000000004
107702,2023-06-07,New Delhi,Janakpuri West,1.63,52.35,24.42,20.0,Tourist Card,,1047.0,488.40000000000003,558.5999999999999
89673,2024-04-01,Rajiv Chowk,Pragati Maidan,5.71,34.65,111.5,15.0,Single,festival,519.75,1672.5,-1152.75
95329,2023-05-29,Noida City Centre,Jasola Vihar,1.06,92.35,66.23,23.0,Smart Card,,2124.0499999999997,1523.2900000000002,600.7599999999995
32514,2023-02-05,   Kashmere Gate ,Pragati Maidan,9.06,108.55,42.8,26.0,Tourist Card,maintenance,2822.2999999999997,1112.8,1709.4999999999998
137403,2024-09-22,Laxmi Nagar,Jasola Vihar,6.31,57.52,73.83,27.0,Smart Card,festival,1553.0400000000002,1993.4099999999999,-440.36999999999966
108661,2024-05-19,Mandi House,Janakpuri West,3.5,169.1,39.27,19.0,Single,festival,3212.9,746.1300000000001,2466.77
117163,2023-04-16, Rajiv Chowk  ,Kashmere Gate,3.01,51.86,56.08,24.0,Smart Card,festival,1244.6399999999999,1345.92,-101.2800000000002
34128,2022-05-25,Mandi House,Dilshad Garden,0.89,122.14,50.9,11.0,Smart Card,festival,1343.54,559.9,783.64
75599,2023-01-07,Dilshad Garden,Jasola Vihar,6.86,121.6,65.33,14.0,Single,,1702.3999999999999,914.62,787.7799999999999
94661,2023-06-15,Jasola Vihar,Janakpuri West,5.72,179.63,73.29,22.0,Tourist Card,maintenance,3951.8599999999997,1612.38,2339.4799999999996
15667,2023-08-19,Hauz Khas,Rajiv Chowk,10.82,152.38,111.36,21.0,Single,festival,3199.98,2338.56,861.4200000000001
102641,2024-01-08,Rajiv Chowk,Jasola Vihar,1.4,145.89,81.22,19.0,Single,weekend,2771.91,1543.18,1228.7299999999998
72836,2023-01-21,Rajiv Chowk,Barakhamba Road,8.08,50.11,79.86,16.0,Tourist Card,festival,801.76,1277.76,-476.0
58111,2023-03-05,Noida City Centre,Central Secretariat,5.83,131.49,60.0,17.0,Tourist Card,festival,2235.33,1020.0,1215.33
41679,2022-06-30,Kashmere Gate,Barakhamba Road,11.1,190.69,101.44,24.0,Single,off-peak,4576.5599999999995,2434.56,2141.9999999999995
111764,2023-06-24,Laxmi Nagar,Mandi House,9.7,70.24,47.63,23.0,Tourist Card,peak,1615.52,1095.49,520.03
95771,2023-02-01,Noida City Centre,Rajouri Garden,0.91,17.99,19.3,13.0,Tourist Card,weekend,233.86999999999998,250.9,-17.03000000000003
142843,2023-12-30,Kalkaji Mandir,Janakpuri West,3.42,168.58,30.6,24.0,Single,,4045.92,734.4000000000001,3311.52
82450,2024-07-18,Central Secretariat,Kirti Nagar,13.75,29.47,62.05,20.0,Tourist Card,weekend,589.4,1241.0,-651.6
113687,2024-04-04,Mandi House,Old Delhi,7.13,111.57,49.8,31.0,Single,peak,3458.6699999999996,1543.8,1914.8699999999997
42247,2023-09-25,Mandi House,Rajiv Chowk,0.96,167.81,93.28,13.0,Smart Card,peak,2181.53,1212.64,968.8900000000001
84726,2024-02-09,Noida City Centre,Pragati Maidan,3.23,157.11,107.32,26.0,Tourist Card,weekend,4084.8600000000006,2790.3199999999997,1294.5400000000009
27727,2022-11-03,Jasola Vihar,Rajiv Chowk,2.83,15.82,62.86,18.0,Smart Card,maintenance,284.76,1131.48,-846.72
122224,2024-11-27,Rajiv Chowk,Pragati Maidan,1.24,169.88,80.35,17.0,Tourist Card,maintenance,2887.96,1365.9499999999998,1522.0100000000002
40010,2022-12-05,New Delhi,Noida City Centre,0.63,131.06,104.38,14.0,Smart Card,maintenance,1834.8400000000001,1461.32,373.5200000000002
66017,2022-07-25,Mandi House,Netaji Subhash Place,4.15,38.87,112.43,22.0,Tourist Card,weekend,855.14,2473.46,-1618.3200000000002
50464,2024-06-07,Noida City Centre,Janakpuri West,4.31,87.49,7.81,17.0,Tourist Card,,1487.33,132.76999999999998,1354.56
29065,2023-03-07,New Delhi,Netaji Subhash Place,2.16,90.06,42.49,12.0,Smart Card,weekend,1080.72,509.88,570.84
34966,2024-11-09,Kalkaji Mandir,Jasola Vihar,1.26,129.01,103.45,17.0,Smart Card,off-peak,2193.17,1758.65,434.52
16623,2023-04-09,Model Town,Punjabi Bagh,4.8,90.49,7.86,26.0,Smart Card,maintenance,2352.74,204.36,2148.3799999999997
119291,2022-12-01,Central Secretariat,Kalkaji Mandir,8.38,170.24,89.74,26.0,Tourist Card,peak,4426.24,2333.24,2093.0
86409,2024-12-14,Model Town,AIIMS,0.72,192.6,105.61,20.0,Single,festival,3852.0,2112.2,1739.8000000000002
124009,2024-12-27,Noida City Centre,Kashmere Gate,3.31,185.75,8.16,22.0,Single,,4086.5,179.52,3906.98
85461,2022-10-21,   AIIMS  ,Laxmi Nagar,5.85,40.3,58.28,24.0,Tourist Card,,967.1999999999999,1398.72,-431.5200000000001
34258,2023-02-13,   Janakpuri West ,Rajouri Garden,3.29,43.08,90.13,21.0,Tourist Card,,904.68,1892.73,-988.0500000000001
50692,2022-01-31,Noida City Centre,Punjabi Bagh,1.1,158.45,17.02,14.0,Tourist Card,maintenance,2218.2999999999997,238.28,1980.0199999999998
10673,2022-08-13,Rajiv Chowk,Chandni Chowk,5.38,199.83,6.75,28.0,Smart Card,maintenance,5595.240000000001,189.0,5406.240000000001
144167,2022-11-05,AIIMS,Kirti Nagar,5.47,132.79,12.09,22.0,Single,,2921.3799999999997,265.98,2655.3999999999996
7322,2023-08-06,Dilshad Garden,Kalkaji Mandir,2.03,128.58,97.65,22.0,Tourist Card,peak,2828.76,2148.3,680.46
15111,2024-04-18,Chandni Chowk,Janakpuri West,12.13,183.45,101.06,22.0,Tourist Card,festival,4035.8999999999996,2223.32,1812.5799999999995
129697,2024-09-19,Rajiv Chowk,Jasola Vihar,5.11,127.95,49.57,13.0,Tourist Card,maintenance,1663.3500000000001,644.41,1018.9400000000002
83565,2022-02-09,Inderlok,Chandni Chowk,2.42,49.64,68.54,19.0,Single,festival,943.16,1302.2600000000002,-359.10000000000025
119867,2023-02-27,Rajiv Chowk,Rajiv Chowk,8.16,98.78,89.39,26.0,Tourist Card,off-peak,2568.28,2324.14,244.14000000000033
133770,2024-03-06,Kashmere Gate,Shivaji Park,4.01,196.0,11.6,21.0,Smart Card,,4116.0,243.6,3872.4
146286,2024-11-26,Hauz Khas,Kalkaji Mandir,10.64,127.99,109.86,22.0,Single,off-peak,2815.7799999999997,2416.92,398.8599999999997
84222,2023-04-07, Kashmere Gate  ,Old Delhi,5.98,90.37,79.09,20.0,Tourist Card,festival,1807.4,1581.8000000000002,225.5999999999999
118,2022-07-24,AIIMS,Kashmere Gate,3.46,61.14,92.04,21.0,Tourist Card,peak,1283.94,1932.8400000000001,-648.9000000000001
71202,2023-01-28, kashmere gate  ,Shivaji Park,3.27,84.95,47.51,21.0,Single,weekend,1783.95,997.7099999999999,786.2400000000001
84950,2022-06-06,Rajiv Chowk,Model Town,0.55,169.45,28.18,16.0,Tourist Card,peak,2711.2,450.88,2260.3199999999997
52889,2024-01-31, central secretariat   ,New Delhi,26.05,14.59,66.41,22.0,Smart Card,off-peak,320.98,1461.02,-1140.04
13859,2023-07-29,Chandni Chowk,AIIMS,1.06,193.26,112.8,22.0,,peak,4251.719999999999,2481.6,1770.1199999999994
136207,2022-06-12,Rajouri Garden,Chandni Chowk,4.04,95.71,22.34,16.0,,off-peak,1531.36,357.44,1173.9199999999998
22935,2023-11-08,Noida City Centre,Rajouri Garden,5.4,134.64,28.36,23.0,Tourist Card,festival,3096.72,652.28,2444.4399999999996
133891,2023-01-24,Noida City Centre,Punjabi Bagh,9.01,40.85,85.3,22.0,Tourist Card,off-peak,898.7,1876.6,-977.8999999999999
56198,2023-12-17,Kashmere Gate,Kirti Nagar,1.22,193.09,29.88,15.0,Single,off-peak,2896.35,448.2,2448.15
130665,2022-10-11,  Jasola Vihar ,Chandni Chowk,11.94,124.48,75.62,16.0,Single,,1991.68,1209.92,781.76
87519,2022-03-27, Janakpuri West   ,Kirti Nagar,7.51,130.89,75.05,18.0,Smart Card,off-peak,2356.0199999999995,1350.8999999999999,1005.1199999999997
16603,2024-01-19,Rajiv Chowk,Dilshad Garden,9.78,84.59,86.89,12.0,Tourist Card,maintenance,1015.08,1042.68,-27.600000000000023
105029,2024-09-28,Mandi House,Mandi House,7.0,150.89,79.82,22.0,Tourist Card,,3319.58,1756.04,1563.54
13217,2022-12-10,  Rajiv Chowk ,Kashmere Gate,9.08,138.15,38.38,16.0,Smart Card,peak,2210.4,614.08,1596.3200000000002
38883,2024-05-14,Rajiv Chowk,Laxmi Nagar,11.04,150.69,28.81,21.0,Smart Card,peak,3164.49,605.01,2559.4799999999996
73884,2022-10-15,Rajiv Chowk,Kirti Nagar,8.22,44.63,96.72,16.0,Single,festival,714.08,1547.52,-833.4399999999999
17654,2024-07-03,Rajiv Chowk,Noida City Centre,0.65,168.45,99.67,20.0,Tourist Card,peak,3369.0,1993.4,1375.6
142822,2023-11-18,Rajiv Chowk,Kalkaji Mandir,4.18,135.7,6.28,20.0,Tourist Card,weekend,2714.0,125.60000000000001,2588.4
84865,2024-01-20,Rajouri Garden,Dilshad Garden,1.76,158.65,100.31,14.0,Tourist Card,weekend,2221.1,1404.3400000000001,816.7599999999998
117264,2023-11-23,Kalkaji Mandir,Old Delhi,8.12,148.49,90.07,20.0,Single,peak,2969.8,1801.3999999999999,1168.4000000000003
34411,2023-11-18,Kashmere Gate,Rajiv Chowk,1.67,190.07,100.65,13.0,Tourist Card,,2470.91,1308.45,1162.4599999999998
117837,2024-07-19,   Kalkaji Mandir  ,Janakpuri West,6.65,20.69,111.66,18.0,Smart Card,maintenance,372.42,2009.8799999999999,-1637.4599999999998
7417,2022-11-30,Laxmi Nagar,Kashmere Gate,10.69,53.44,22.08,18.0,,,961.92,397.43999999999994,564.48
17710,2022-04-21,Mandi House,Mandi House,9.16,175.99,48.65,8.0,Single,off-peak,1407.92,389.2,1018.72
136253,2022-04-13,   Rajiv Chowk   ,Inderlok,4.01,27.29,45.06,18.0,Smart Card,weekend,491.21999999999997,811.08,-319.86000000000007
26211,2024-05-12,Mandi House,Noida City Centre,12.21,55.87,68.75,16.0,Tourist Card,,893.92,1100.0,-206.08000000000004
39345,2022-03-25, New Delhi  ,Old Delhi,3.21,113.92,107.0,19.0,Tourist Card,off-peak,2164.48,2033.0,131.48000000000002
116700,2023-04-29,New Delhi,Kirti Nagar,3.81,35.54,13.54,20.0,Tourist Card,weekend,710.8,270.79999999999995,440.0
95048,2023-09-18,Noida City Centre,Rajouri Garden,3.47,48.37,77.96,15.0,Single,peak,725.55,1169.3999999999999,-443.8499999999999
111110,2024-05-28,Rajiv Chowk,Netaji Subhash Place,1.74,24.46,7.08,26.0,Single,off-peak,635.96,184.08,451.88
51157,2024-03-07,   Inderlok ,Jasola Vihar,10.0,168.33,98.68,32.0,Tourist Card,peak,5386.56,3157.76,2228.8
129331,2023-05-30,Chandni Chowk,Kashmere Gate,1.94,50.15,27.09,21.0,Tourist Card,,1053.1499999999999,568.89,484.2599999999999
67234,2022-05-16,Noida City Centre,Dilshad Garden,2.61,21.52,29.14,34.0,Tourist Card,weekend,731.68,990.76,-259.08000000000004
115062,2023-01-11,Noida City Centre,Rajouri Garden,2.49,160.42,29.97,18.0,Tourist Card,off-peak,2887.56,539.46,2348.1
17170,2022-10-24,Rajiv Chowk,Hauz Khas,1.05,137.78,118.61,26.0,Smart Card,,3582.28,3083.86,498.4200000000001
125745,2024-02-08,Noida City Centre,Shivaji Park,1.07,27.16,75.13,25.0,Tourist Card,,679.0,1878.25,-1199.25
46673,2022-01-20,Noida City Centre,Shivaji Park,6.86,88.46,43.89,22.0,Tourist Card,,1946.12,965.58,980.5399999999998
149918,2022-07-14,Inderlok,Old Delhi,6.23,88.8,82.85,18.0,Tourist Card,off-peak,1598.3999999999999,1491.3,107.09999999999991
102439,2024-05-27,Mandi House,Kalkaji Mandir,3.73,163.86,82.39,27.0,Tourist Card,festival,4424.22,2224.53,2199.69
4891,2022-12-13, AIIMS ,Old Delhi,3.64,49.79,59.36,24.0,Tourist Card,maintenance,1194.96,1424.6399999999999,-229.67999999999984
146811,2023-01-30,Dilshad Garden,New Delhi,1.07,153.46,69.44,20.0,Single,,3069.2000000000003,1388.8,1680.4000000000003
10141,2022-02-04, LAXMI NAGAR  ,Dilshad Garden,2.7,59.42,89.7,22.0,Smart Card,,1307.24,1973.4,-666.1600000000001
111238,2024-04-09,Noida City Centre,Jasola Vihar,3.97,187.59,49.74,14.0,Tourist Card,festival,2626.26,696.36,1929.9
117339,2024-09-24,Jasola Vihar,Janakpuri West,1.53,54.81,83.85,15.0,Single,maintenance,822.1500000000001,1257.75,-435.5999999999999
88469,2024-11-27,Hauz Khas,Chandni Chowk,5.52,108.79,22.51,16.0,Single,maintenance,1740.64,360.16,1380.48
116628,2024-06-12,Janakpuri West,Barakhamba Road,5.89,163.85,33.32,21.0,Tourist Card,festival,3440.85,699.72,2741.13
113106,2023-09-11,Noida City Centre,Rajiv Chowk,9.09,183.39,109.81,12.0,Tourist Card,weekend,2200.68,1317.72,882.9599999999998
57839,2022-08-24,Rajiv Chowk,Old Delhi,8.44,130.53,107.3,15.0,Single,,1957.95,1609.5,348.45000000000005
42458,2023-04-14,Noida City Centre,Janakpuri West,1.55,142.31,20.99,19.0,Smart Card,maintenance,2703.89,398.80999999999995,2305.08
57005,2024-11-04,Dilshad Garden,Jasola Vihar,4.53,198.09,28.94,16.0,Single,peak,3169.44,463.04,2706.4
27965,2023-05-31,Model Town,Rajiv Chowk,3.21,104.8,74.85,33.0,Single,maintenance,3458.4,2470.0499999999997,988.3500000000004
141962,2023-01-15,   Rajouri Garden  ,Kirti Nagar,3.03,104.92,51.99,22.0,Smart Card,maintenance,2308.2400000000002,1143.78,1164.4600000000003
29910,2022-09-08,Inderlok,Hauz Khas,6.14,158.34,48.04,21.0,Tourist Card,maintenance,3325.14,1008.84,2316.2999999999997
125078,2023-02-26,Noida City Centre,Mandi House,4.11,120.18,101.74,27.0,Tourist Card,,3244.86,2746.98,497.8800000000001
51213,2024-10-20,Dilshad Garden,New Delhi,1.95,129.57,28.72,20.0,Tourist Card,off-peak,2591.3999999999996,574.4,2016.9999999999995
109729,2024-08-16,   central secretariat  ,Rajouri Garden,3.75,196.18,55.38,23.0,Tourist Card,festival,4512.14,1273.74,3238.4000000000005
63781,2023-05-24,Mandi House,Chandni Chowk,1.75,29.18,98.17,35.0,Smart Card,maintenance,1021.3,3435.9500000000003,-2414.6500000000005
8342,2023-08-31,Noida City Centre,Chandni Chowk,0.7,172.88,101.13,21.0,Single,peak,3630.48,2123.73,1506.75
134181,2023-02-10,Dilshad Garden,Mandi House,6.14,130.87,117.2,19.0,Smart Card,maintenance,2486.53,2226.8,259.73
140419,2024-08-04,Mandi House,Kalkaji Mandir,1.58,145.99,83.36,18.0,Tourist Card,weekend,2627.82,1500.48,1127.3400000000001
95547,2024-06-13,Inderlok,AIIMS,6.83,134.82,82.44,13.0,Tourist Card,off-peak,1752.6599999999999,1071.72,680.9399999999998
119333,2022-07-16,Mandi House,Pragati Maidan,2.91,140.06,115.4,23.0,Smart Card,peak,3221.38,2654.2000000000003,567.1799999999998
18608,2022-07-07,Mandi House,Mandi House,1.72,109.35,104.19,22.0,Tourist Card,off-peak,2405.7,2292.18,113.51999999999998
148774,2024-02-26,   hauz khas  ,Kashmere Gate,8.42,40.76,111.74,23.0,Tourist Card,peak,937.4799999999999,2570.02,-1632.54
31588,2024-08-06,Central Secretariat,Janakpuri West,1.95,11.31,68.85,13.0,Tourist Card,off-peak,147.03,895.05,-748.02
49188,2023-04-21,AIIMS,Old Delhi,9.54,63.1,85.24,17.0,Tourist Card,peak,1072.7,1449.08,-376.3799999999999
24258,2022-04-03,Mandi House,Rajiv Chowk,2.31,197.57,17.36,31.0,Single,festival,6124.67,538.16,5586.51
82973,2023-10-24,Jasola Vihar,Laxmi Nagar,3.0,136.88,52.3,11.0,Single,festival,1505.6799999999998,575.3,930.3799999999999
140114,2024-01-19,Model Town,Mandi House,6.73,131.8,28.14,27.0,Tourist Card,peak,3558.6000000000004,759.78,2798.8200000000006
41592,2022-10-18,Mandi House,Noida City Centre,9.87,46.64,72.97,19.0,Tourist Card,weekend,886.16,1386.43,-500.2700000000001
25246,2022-09-23,Central Secretariat,Noida City Centre,1.84,154.91,87.39,27.0,Tourist Card,,4182.57,2359.53,1823.0399999999995
8396,2024-02-10,   Rajouri Garden ,New Delhi,0.82,116.0,35.6,20.0,Tourist Card,off-peak,2320.0,712.0,1608.0
29319,2022-01-23,New Delhi,AIIMS,16.21,130.25,59.1,21.0,Tourist Card,,2735.25,1241.1000000000001,1494.1499999999999
7704,2023-01-25,Rajiv Chowk,Noida City Centre,1.57,44.91,49.02,20.0,Smart Card,,898.1999999999999,980.4000000000001,-82.20000000000016
69358,2024-03-18,Chandni Chowk,Old Delhi,1.19,176.93,92.41,17.0,Tourist Card,peak,3007.81,1570.97,1436.84
19079,2022-04-19,Model Town,Barakhamba Road,2.65,185.74,108.86,12.0,Tourist Card,festival,2228.88,1306.32,922.5600000000002
55709,2023-10-30,Kashmere Gate,Noida City Centre,5.53,65.96,49.46,18.0,Tourist Card,,1187.28,890.28,297.0
147422,2023-05-17,Inderlok,Jasola Vihar,8.0,113.12,93.73,25.0,Tourist Card,maintenance,2828.0,2343.25,484.75
104159,2022-04-10,Inderlok,Old Delhi,1.01,168.06,36.3,19.0,Tourist Card,maintenance,3193.14,689.6999999999999,2503.44
108569,2023-01-31, Inderlok  ,Chandni Chowk,3.89,188.44,76.68,13.0,Single,weekend,2449.72,996.8400000000001,1452.8799999999997
8960,2024-07-23,Mandi House,Shivaji Park,3.67,199.77,110.02,11.0,Tourist Card,festival,2197.4700000000003,1210.22,987.2500000000002
73454,2023-08-05,New Delhi,Pragati Maidan,1.75,14.71,6.05,27.0,Tourist Card,off-peak,397.17,163.35,233.82000000000002
126236,2024-11-04,New Delhi,Punjabi Bagh,3.99,77.26,46.13,24.0,Smart Card,maintenance,1854.2400000000002,1107.1200000000001,747.1200000000001
36738,2022-12-10,New Delhi,Rajiv Chowk,2.32,143.86,62.86,26.0,Tourist Card,,3740.3600000000006,1634.36,2106.000000000001
19708,2023-05-24,Noida City Centre,Rajouri Garden,2.55,139.78,68.43,25.0,Tourist Card,off-peak,3494.5,1710.7500000000002,1783.7499999999998
89106,2024-08-07,Rajiv Chowk,Mandi House,6.73,77.8,119.23,23.0,Tourist Card,maintenance,1789.3999999999999,2742.29,-952.8900000000001
67266,2024-11-27,  kashmere gate   ,Central Secretariat,8.3,22.0,31.74,15.0,Single,festival,330.0,476.09999999999997,-146.09999999999997
24644,2023-10-14,Laxmi Nagar,Old Delhi,6.7,113.67,13.38,20.0,Tourist Card,weekend,2273.4,267.6,2005.8000000000002
20183,2024-09-25,   HAUZ KHAS  ,Chandni Chowk,2.24,187.22,77.76,23.0,Smart Card,peak,4306.06,1788.48,2517.5800000000004
127042,2023-05-06,Noida City Centre,New Delhi,1.02,176.7,81.95,18.0,Tourist Card,off-peak,3180.6,1475.1000000000001,1705.4999999999998
69080,2024-02-14,Kashmere Gate,Janakpuri West,1.57,88.17,54.33,12.0,Tourist Card,weekend,1058.04,651.96,406.0799999999999
31814,2022-07-26,Kalkaji Mandir,Shivaji Park,6.21,67.18,42.22,16.0,,festival,1074.88,675.52,399.3600000000001
30991,2022-08-03, rajouri garden ,Punjabi Bagh,1.66,181.81,18.7,27.0,Tourist Card,maintenance,4908.87,504.9,4403.97
143577,2022-02-18, Chandni Chowk   ,Kalkaji Mandir,1.66,157.5,38.6,25.0,Smart Card,festival,3937.5,965.0,2972.5
133635,2023-05-01,Kalkaji Mandir,Model Town,8.97,193.41,119.55,29.0,Smart Card,off-peak,5608.89,3466.95,2141.9400000000005
261,2023-11-05,  CHANDNI CHOWK   ,Dilshad Garden,1.92,60.77,18.57,22.0,Single,peak,1336.94,408.54,928.4000000000001
61986,2022-05-14,Jasola Vihar,Kashmere Gate,22.54,133.67,64.49,14.0,Tourist Card,peak,1871.3799999999999,902.8599999999999,968.52
54330,2022-10-04,Rajiv Chowk,Noida City Centre,4.18,50.85,81.8,21.0,Tourist Card,off-peak,1067.8500000000001,1717.8,-649.9499999999998
136099,2023-12-18,AIIMS,Netaji Subhash Place,1.89,42.41,11.93,15.0,Single,,636.15,178.95,457.2
58031,2023-08-06,Dilshad Garden,New Delhi,2.77,96.33,8.12,17.0,Smart Card,festival,1637.61,138.04,1499.57
116582,2024-10-01,Rajiv Chowk,Noida City Centre,1.56,33.08,35.8,18.0,Smart Card,peak,595.4399999999999,644.4,-48.960000000000036
65758,2024-12-18,Rajiv Chowk,Rajiv Chowk,4.79,130.59,8.56,18.0,Single,peak,2350.62,154.08,2196.54
83358,2022-11-23,Noida City Centre,Hauz Khas,1.33,78.02,44.46,23.0,Tourist Card,weekend,1794.4599999999998,1022.58,771.8799999999998
18540,2024-03-11,Mandi House,Rajouri Garden,4.09,51.07,111.28,19.0,Smart Card,,970.33,2114.32,-1143.9900000000002
39224,2023-07-31,Rajiv Chowk,Shivaji Park,7.51,83.51,46.56,21.0,Single,,1753.71,977.76,775.95
